SNo,ObservationDate,Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered
18349,2020-04-24 00:00:00,,India,2020-04-25 06:31:19,24530.0,780.0,5498.0
18670,2020-04-25 00:00:00,,India,2020-04-26 02:31:18,26283.0,825.0,5939.0
18991,2020-04-26 00:00:00,,India,2020-04-27 02:31:20,27890.0,881.0,6523.0
19312,2020-04-27 00:00:00,,India,2020-04-28 02:31:20,29451.0,939.0,7137.0
19637,2020-04-28 00:00:00,,India,2020-04-29 02:32:29,31324.0,1008.0,7747.0
19962,2020-04-29 00:00:00,,India,2020-04-30 02:32:27,33062.0,1079.0,8437.0
20288,2020-04-30 00:00:00,,India,2020-05-01 02:32:28,34863.0,1154.0,9068.0
20615,2020-05-01 00:00:00,,India,2020-05-02 02:32:27,37257.0,1223.0,10007.0
20942,2020-05-02 00:00:00,,India,2020-05-03 02:32:28,39699.0,1323.0,10819.0
21269,2020-05-03 00:00:00,,India,2020-05-04 02:32:28,42505.0,1391.0,11775.0
21596,2020-05-04 00:00:00,,India,2020-05-05 02:32:34,46437.0,1566.0,12847.0
21923,2020-05-05 00:00:00,,India,2020-05-06 02:32:31,49400.0,1693.0,14142.0
22250,2020-05-06 00:00:00,,India,2021-04-02 15:13:53,52987.0,1785.0,15331.0
22577,2020-05-07 00:00:00,,India,2021-04-02 15:13:53,56351.0,1889.0,16776.0
22904,2020-05-08 00:00:00,,India,2021-04-02 15:13:53,59695.0,1985.0,17887.0
23231,2020-05-09 00:00:00,,India,2021-04-02 15:13:53,62808.0,2101.0,19301.0
23558,2020-05-10 00:00:00,,India,2021-04-02 15:13:53,67161.0,2212.0,20969.0
23885,2020-05-11 00:00:00,,India,2021-04-02 15:13:53,70768.0,2294.0,22549.0
24212,2020-05-12 00:00:00,,India,2021-04-02 15:13:53,74292.0,2415.0,24420.0
24539,2020-05-13 00:00:00,,India,2021-04-02 15:13:53,78055.0,2551.0,26400.0
24866,2020-05-14 00:00:00,,India,2021-04-02 15:13:53,81997.0,2649.0,27969.0
25247,2020-05-15 00:00:00,,India,2021-04-02 15:13:53,85784.0,2753.0,30258.0
25628,2020-05-16 00:00:00,,India,2021-04-02 15:13:53,90648.0,2871.0,34224.0
26009,2020-05-17 00:00:00,,India,2021-04-02 15:13:53,95698.0,3025.0,36795.0
26390,2020-05-18 00:00:00,,India,2021-04-02 15:13:53,100328.0,3156.0,39233.0
26771,2020-05-19 00:00:00,,India,2021-04-02 15:13:53,106475.0,3302.0,42309.0
27151,2020-05-20 00:00:00,,India,2021-04-02 15:13:53,112028.0,3434.0,45422.0
27607,2020-05-21 00:00:00,,India,2021-04-02 15:13:53,118226.0,3584.0,48553.0
28063,2020-05-22 00:00:00,,India,2021-04-02 15:13:53,124794.0,3726.0,51824.0
28519,2020-05-23 00:00:00,,India,2021-04-02 15:13:53,131423.0,3868.0,54385.0
28975,2020-05-24 00:00:00,,India,2021-04-02 15:13:53,138536.0,4024.0,57692.0
29431,2020-05-25 00:00:00,,India,2021-04-02 15:13:53,144950.0,4172.0,60706.0
29887,2020-05-26 00:00:00,,India,2021-04-02 15:13:53,150793.0,4344.0,64277.0
30343,2020-05-27 00:00:00,,India,2021-04-02 15:13:53,158086.0,4534.0,67749.0
30798,2020-05-28 00:00:00,,India,2021-04-02 15:13:53,165386.0,4711.0,70920.0
31355,2020-05-29 00:00:00,,India,2021-04-02 15:13:53,173491.0,4980.0,82627.0
31913,2020-05-30 00:00:00,,India,2021-04-02 15:13:53,181827.0,5185.0,86936.0
32472,2020-05-31 00:00:00,,India,2021-04-02 15:13:53,190609.0,5408.0,91852.0
33031,2020-06-01 00:00:00,,India,2021-04-02 15:13:53,198370.0,5608.0,95754.0
33699,2020-06-02 00:00:00,,India,2021-04-02 15:13:53,207191.0,5829.0,100285.0
34366,2020-06-03 00:00:00,,India,2021-04-02 15:13:53,216824.0,6088.0,104071.0
35034,2020-06-04 00:00:00,,India,2021-04-02 15:13:53,226713.0,6363.0,108450.0
35702,2020-06-05 00:00:00,,India,2021-04-02 15:13:53,236184.0,6649.0,113233.0
36390,2020-06-06 00:00:00,,India,2021-04-02 15:13:53,246622.0,6946.0,118695.0
37078,2020-06-07 00:00:00,,India,2021-04-02 15:13:53,257486.0,7207.0,123848.0
37766,2020-06-08 00:00:00,,India,2021-04-02 15:13:53,265928.0,7473.0,129095.0
38454,2020-06-09 00:00:00,,India,2021-04-02 15:13:53,276146.0,7750.0,134670.0
39261,2020-06-10 00:00:00,Andaman and Nicobar Islands,India,2021-04-02 15:13:53,33.0,0.0,33.0
39262,2020-06-10 00:00:00,Andhra Pradesh,India,2021-04-02 15:13:53,5070.0,77.0,2802.0
39278,2020-06-10 00:00:00,Arunachal Pradesh,India,2021-04-02 15:13:53,57.0,0.0,1.0
39279,2020-06-10 00:00:00,Assam,India,2021-04-02 15:13:53,2937.0,4.0,1085.0
39301,2020-06-10 00:00:00,Bihar,India,2021-04-02 15:13:53,5459.0,32.0,2864.0
39334,2020-06-10 00:00:00,Chandigarh,India,2021-04-02 15:13:53,323.0,5.0,286.0
39341,2020-06-10 00:00:00,Chhattisgarh,India,2021-04-02 15:13:53,1240.0,6.0,386.0
39360,2020-06-10 00:00:00,Dadar Nagar Haveli,India,2021-04-02 15:13:53,22.0,0.0,2.0
39364,2020-06-10 00:00:00,Delhi,India,2021-04-02 15:13:53,31309.0,905.0,11861.0
39393,2020-06-10 00:00:00,Goa,India,2021-04-02 15:13:53,359.0,0.0,67.0
39408,2020-06-10 00:00:00,Gujarat,India,2021-04-02 15:13:53,21014.0,1313.0,14365.0
39413,2020-06-10 00:00:00,Haryana,India,2021-04-02 15:13:53,5209.0,45.0,2134.0
39420,2020-06-10 00:00:00,Himachal Pradesh,India,2021-04-02 15:13:53,445.0,5.0,249.0
39445,2020-06-10 00:00:00,Jammu and Kashmir,India,2021-04-02 15:13:53,4346.0,48.0,1506.0
39448,2020-06-10 00:00:00,Jharkhand,India,2021-04-02 15:13:53,1411.0,8.0,559.0
39466,2020-06-10 00:00:00,Karnataka,India,2021-04-02 15:13:53,5921.0,66.0,2604.0
39469,2020-06-10 00:00:00,Kerala,India,2021-04-02 15:13:53,2096.0,16.0,848.0
39494,2020-06-10 00:00:00,Ladakh,India,2021-04-02 15:13:53,108.0,1.0,52.0
39510,2020-06-10 00:00:00,Madhya Pradesh,India,2021-04-02 15:13:53,9849.0,420.0,6729.0
39516,2020-06-10 00:00:00,Maharashtra,India,2021-04-02 15:13:53,90787.0,3289.0,42638.0
39518,2020-06-10 00:00:00,Manipur,India,2021-04-02 15:13:53,304.0,0.0,61.0
39531,2020-06-10 00:00:00,Meghalaya,India,2021-04-02 15:13:53,43.0,1.0,13.0
39545,2020-06-10 00:00:00,Mizoram,India,2021-04-02 15:13:53,88.0,0.0,1.0
39557,2020-06-10 00:00:00,Nagaland,India,2021-04-02 15:13:53,127.0,0.0,10.0
39597,2020-06-10 00:00:00,Odisha,India,2021-04-02 15:13:53,3140.0,9.0,2133.0
39630,2020-06-10 00:00:00,Puducherry,India,2021-04-02 15:13:53,127.0,0.0,52.0
39634,2020-06-10 00:00:00,Punjab,India,2021-04-02 15:13:53,2719.0,55.0,2167.0
39644,2020-06-10 00:00:00,Rajasthan,India,2021-04-02 15:13:53,11245.0,255.0,8328.0
39691,2020-06-10 00:00:00,Sikkim,India,2021-04-02 15:13:53,13.0,0.0,0.0
39712,2020-06-10 00:00:00,Tamil Nadu,India,2021-04-02 15:13:53,34914.0,307.0,18325.0
39716,2020-06-10 00:00:00,Telangana,India,2021-04-02 15:13:53,3920.0,148.0,1809.0
39733,2020-06-10 00:00:00,Tripura,India,2021-04-02 15:13:53,864.0,1.0,192.0
39747,2020-06-10 00:00:00,Unknown,India,2021-04-02 15:13:53,9227.0,0.0,0.0
39754,2020-06-10 00:00:00,Uttar Pradesh,India,2021-04-02 15:13:53,11335.0,301.0,6669.0
39755,2020-06-10 00:00:00,Uttarakhand,India,2021-04-02 15:13:53,1537.0,13.0,755.0
39780,2020-06-10 00:00:00,West Bengal,India,2021-04-02 15:13:53,8985.0,415.0,3620.0
39989,2020-06-11 00:00:00,Andaman and Nicobar Islands,India,2021-04-02 15:13:53,38.0,0.0,33.0
39990,2020-06-11 00:00:00,Andhra Pradesh,India,2021-04-02 15:13:53,5429.0,80.0,3048.0
40006,2020-06-11 00:00:00,Arunachal Pradesh,India,2021-04-02 15:13:53,61.0,0.0,4.0
40007,2020-06-11 00:00:00,Assam,India,2021-04-02 15:13:53,3319.0,6.0,1432.0
40029,2020-06-11 00:00:00,Bihar,India,2021-04-02 15:13:53,5983.0,36.0,3266.0
40062,2020-06-11 00:00:00,Chandigarh,India,2021-04-02 15:13:53,332.0,5.0,286.0
40069,2020-06-11 00:00:00,Chhattisgarh,India,2021-04-02 15:13:53,1398.0,6.0,447.0
